('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         505558 function calls (486875 primitive calls) in 0.916 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       57    0.000    0.000    0.000    0.000 typing.py:120(_type_check)
       77    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       32    0.000    0.000    0.003    0.000 response.py:395(_decode)
       66    0.000    0.000    0.001    0.000 _htmlparser.py:104(handle_startendtag)
       29    0.000    0.000    0.000    0.000 ipaddress.py:1558(_ip_int_from_string)
       49    0.000    0.000    0.000    0.000 enum.py:932(__or__)
        2    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
       32    0.000    0.000    0.126    0.004 response.py:706(_handle_chunk)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7f6649591d30}
        1    0.000    0.000    0.000    0.000 status_codes.py:107(_init)
       11    0.000    0.000    0.000    0.000 enum.py:978(_decompose)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        3    0.000    0.000    0.004    0.001 request.py:1(<module>)
    76/72    0.000    0.000    0.001    0.000 typing.py:255(inner)
      152    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
        1    0.000    0.000    0.003    0.003 __init__.py:17(<module>)
       42    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
       11    0.000    0.000    0.000    0.000 enum.py:997(<listcomp>)
      464    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      368    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       44    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.041    0.041 ssl.py:983(_create)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
        3    0.000    0.000    0.076    0.025 __init__.py:2(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
      107    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.003    0.003 utils.py:3(<module>)
       54    0.000    0.000    0.126    0.002 client.py:606(_safe_read)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f6649655ee0}
      465    0.000    0.000    0.000    0.000 css_types.py:69(__hash__)
