('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         662815 function calls (637022 primitive calls) in 1.061 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      134    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       13    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
      144    0.000    0.000    0.000    0.000 _receivebuffer.py:56(__bool__)
       21    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      264    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      163    0.000    0.000    0.166    0.001 http11.py:284(__iter__)
      163    0.000    0.000    0.166    0.001 _client.py:121(__iter__)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1151(_parse_octet)
        1    0.000    0.000    0.003    0.003 ssl.py:4(<module>)
       70    0.000    0.000    0.000    0.000 css_types.py:214(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:17(<module>)
        1    0.000    0.000    0.002    0.002 inspect.py:1(<module>)
